id_mgs	MQB_005	MQB_014	MQB_023	MQB_032	MQB_041	MQB_059	MQB_068	MQB_086	MQB_095	MQB_005_l2	MQB_014_l3	MQB_023_l2	MQB_032_l2	MQB_059_l2	MQB_068_l2	MQB_086_l2	MQB_095_l2
"msp_0434"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0435"	2.663195537365365e-5	0	0	9.015542829776336e-4	0	0	0	0	0	1.058589924331073e-5	0	0	8.457440255713207e-4	8.489403621350973e-6	0	1.2578007564034308e-5	0
"msp_0436"	0.0024631526641008305	0.0022861819002107106	0.003737499087203324	0.0014290634719594118	0.0010120462318536333	2.923937713770916e-4	0.0013209920995251537	0.0031121204112808287	0.003980597631759516	0.0024609774831237715	0.0023107161340599554	0.003578451855878838	0.0015257054573212443	3.447418508079539e-4	0.0013094303773361342	0.00316017898254868	0.003619165853132057
"msp_0437c"	0	0	5.17243826029028e-5	0	1.2401025776117211e-5	0	0	2.4889071761295923e-5	0	8.315567735051583e-6	0	2.2919973000440464e-5	1.351022282239434e-5	0	0	3.482523753734151e-5	1.0385244694466657e-5
"msp_0438"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0439"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0440"	0	0	0.0022776404415844353	5.2151934880894076e-5	3.9786909220911434e-4	1.4968544006523527e-4	0	0	0	0	0	0.002189075959609011	2.4783065459664814e-4	1.0404830249722047e-4	0	0	0
"msp_0441"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0442"	5.4629702849506726e-5	0	0	8.796811133944482e-5	1.859898834317001e-4	4.816499671906568e-5	5.084189998317054e-5	0	0	6.245151514617645e-5	0	0	8.169397959270511e-5	3.704541638347579e-5	5.0632267950447494e-5	0	1.187976447535653e-5
"msp_0443"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0444"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0445"	2.1392876409221078e-4	0	0	0	0	0	0	0	0	2.2915191795629624e-4	0	0	0	0	0	0	0
"msp_0446c"	0	0	0	0	0	0	0	0	0	7.62485694132379e-6	0	0	0	0	0	0	0
"msp_0447"	0	0	0	0	1.3719923496510498e-4	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0448"	6.267288275836386e-5	0	0	0	0	0	0	0	0	5.54322445229501e-5	0	0	0	0	0	0	0
"msp_0449"	7.55816135793129e-5	0	0	0	2.256456601800744e-4	0	0	0	0	5.935985481307508e-5	0	0	0	0	0	0	0
"msp_0450"	1.9870502549598593e-5	0	0	0.0028704863302177353	0.0034077634494991144	2.0990541928655364e-4	0	0	0	0	0	5.0043141695732094e-5	0.0026267509625358914	1.7440110754157333e-4	0	0	0
"msp_0451"	0	0	0	0	5.633301115614075e-4	0	0	0	0	0	0	8.311514641234714e-6	0	0	0	0	0
"msp_0452"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0453"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0454"	8.779405258397689e-4	0	3.82968319660762e-4	0	6.455048902120146e-5	2.9410176453363536e-5	0	1.9174983992929708e-4	0	9.307483416634332e-4	0	4.123979947034973e-4	5.4861024117845066e-5	5.044601941800472e-5	0	1.9912197835238944e-4	0
"msp_0455"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0456"	0	3.587905462798847e-4	0.001136457904695681	0.009652984993566307	7.665662792183095e-4	7.367682322669838e-4	0.003706186564859939	6.604722392937058e-4	2.801887103213989e-4	6.9967642052875475e-6	4.242692775758295e-4	0.001170514391386801	0.009445064576729131	7.546076590378613e-4	0.004131498782904979	7.002812379052678e-4	7.808664116999731e-4
"msp_0457"	0	0.00135496345864345	0.006380622628891868	0.0025674531394724556	3.689286368210519e-4	0.001995617911910841	0.0036702223361442664	0	0	0	0.001335525381825177	0.006688876742818704	0.0030109276318960486	0.0018854452102482588	0.004034300222506	0	4.672080896589611e-4
"msp_0458"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0459"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0460"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0461"	0	0	0	0	4.6984683467831026e-5	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0462"	0	0	0	0.002177307093048132	3.3167755261851605e-4	4.041432794918545e-4	8.594357966130721e-5	6.550262185955043e-4	0	0	0	0	0.001960373519098937	4.754603486575567e-4	1.0169965754487555e-4	6.724054304665111e-4	1.2847862652863686e-5
"msp_0463"	0.006314756338437513	0	0	0	9.536863390398487e-4	0	2.962038913165095e-5	3.471579240993137e-4	0	0.00621579768702545	0	1.177887991571113e-5	0	1.1125575370850795e-4	3.2339445010388236e-5	4.1273018980265454e-4	6.013025447529964e-6
"msp_0464"	0.001308920185597072	0	0	0	1.1734297411823603e-4	0	0	0	0	0.0013695877549560215	0	0	0	3.3731456289709093e-5	0	1.5748901008458187e-5	0
"msp_0465"	0	0	0	0	0	4.787901606094582e-5	0	1.826280030896137e-5	0	0	0	0	0	4.1809024994630334e-5	0	2.0587456130222712e-5	0
"msp_0466"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0467"	0	0	8.749047711560435e-6	2.2381594976982825e-4	2.450924092810253e-4	1.4579195685829168e-5	0	0.0011576364078540917	0	0	0	1.4669016378972539e-5	2.4376544593039817e-4	1.9484320877187497e-5	0	0.001166159571101959	0
"msp_0468"	0.0037591694143111203	0.0010513431686042995	0.026993645729042955	0.007025141069783939	0.001950681091794735	8.978242159671739e-5	0.002207412420953438	0.003272769701076203	2.0849601937373118e-5	0.0037274831723393986	0.001167043892419976	0.025810826517047348	0.008910658462041896	1.535147473378721e-4	0.0020228385876911916	0.003168359446235106	2.958533800664973e-4
"msp_0469c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0470"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0471"	3.351544498107515e-4	0	0	7.722102848948672e-4	3.303294294232544e-5	7.840254449011571e-5	3.564182189581439e-5	2.8597903318304334e-4	0	3.406724317736852e-4	0	1.44754215248294e-5	7.143846679155454e-4	1.1005113944592653e-4	3.932313130943023e-5	2.6351216070334606e-4	0
"msp_0472"	0	0	0	0	0	0	0	3.9864497411185094e-4	0	0	0	0	0	0	0	3.6701665375551686e-4	0
"msp_0473c"	2.605391346839791e-4	0	7.075667475080496e-4	3.8005966533021147e-4	4.5530520365182596e-4	1.636807385666278e-4	8.945451152457641e-4	1.9385090288163114e-4	2.824499586853484e-4	2.3773333187933948e-4	0	7.416101568134016e-4	4.6242380586617636e-4	1.8752646697878236e-4	8.621844406954857e-4	2.148826121999638e-4	3.67104679625277e-4
"msp_0474"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0475"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0476"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0477"	8.385754237769387e-4	0	0.0027395606308672324	1.3653517613265896e-4	0.001513222283544117	3.6488237613803816e-4	3.1917334043243036e-4	0	0.002370748594864472	8.493028222514939e-4	0	0.0028050996659693657	4.078623631807534e-4	3.7613866266678953e-4	3.3363198963343014e-4	7.599504156591052e-6	0.002203301731656799
"msp_0478"	3.059928691751089e-4	4.567534964878454e-4	3.429462577496214e-4	1.1481230740613246e-4	6.690607546531621e-4	2.1591625862960642e-4	9.506368653877247e-5	0.0019884736031501628	4.072099808827863e-4	3.1679183272574944e-4	4.161503644313774e-4	3.365594570272989e-4	1.6776003838493814e-4	2.0280204408547602e-4	1.003705295869091e-4	0.0021589753421749863	3.8138424271125937e-4
"msp_0479"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0480"	0	0	8.460738686135518e-5	5.962564124383818e-4	0	2.9761463545502518e-5	0.0010981185726262807	0	0	1.4177208651149066e-5	0	6.996049027231309e-5	4.5932381788691177e-4	3.896660549173089e-5	0.001164979432876624	0	1.2629305132368665e-4
"msp_0481"	1.316988352767236e-5	0	0	0	0.006763671072110864	0	0	0	0	1.120183711190473e-5	0	9.135894725811676e-5	0	0	0	0	0
"msp_0482"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0483"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0484"	0.0066001167767041884	0.0011573831920030173	0.014683256074201576	0.005721464124590392	0.0046387378129706565	0.005539717677648209	0.006404239682625658	0.011329902608853946	0.006496829632153242	0.007168102402860673	0.0012031062415051791	0.015377298582089638	0.006639130760818165	0.006166801660501305	0.007550398903032577	0.012629764246524143	0.007214712344060182
"msp_0485"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0486"	1.3980838098766384e-4	0	0	6.8748848627212e-4	1.4757182234953835e-5	8.442652657884292e-5	5.405393819751139e-4	7.586698515825555e-5	5.345220190033758e-4	1.469313482579581e-4	9.23403803593473e-6	0	6.201946414239464e-4	1.0731968908719183e-4	5.672552935444354e-4	6.596924462156264e-5	5.195322806604196e-4
"msp_0487"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0488"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0489"	2.0946296841694673e-5	0.0022030704491696066	1.4806356540270166e-4	5.478758209764601e-5	0.005979960404353602	2.8954191132308505e-5	4.5783161702065385e-5	0	7.46358758277429e-4	1.3054338352271169e-5	0.0021806740755607188	2.167826908413858e-4	6.303804372623784e-5	2.0112135066071144e-5	3.966432573100742e-5	0	6.763928968578372e-4
"msp_0490"	0.006161315219310871	0	0	0	0.0012408667245622253	0.009777827427866821	0.0017413049704362784	0	0	0.006173630579288171	0	2.3994386287793803e-5	0	0.010144760075406198	0.00193895666261542	8.390919570600147e-5	2.290248129542655e-4
"msp_0491"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0492"	0	0	0	2.7865654188450066e-5	0	0	0	0	0	0	0	0	1.7157257514509715e-5	0	0	0	0
"msp_0493"	0.0012176366816475256	0	0	0	0	0	0	0	0	0.001163300557606855	0	0	0	2.2175758993629536e-5	0	1.768713970973228e-5	0
"msp_0494"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0495"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0496"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0497"	0	0	0	1.4605828144969025e-5	2.836983651521955e-4	2.4561626574455275e-5	0	0	0	0	0	0	1.3420778805888634e-5	3.87792494119765e-5	0	0	0
"msp_0498"	0	0	0	0	0	0	0	0	0	0	0	0	0	5.505347711676384e-5	0	0	0
"msp_0499"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0500"	0	0	0	3.4101957797529693e-4	2.4693487582493106e-4	3.271284919014223e-5	0	6.834721437066594e-5	0	0	0	0	2.880486883022435e-4	4.356640649241784e-5	0	6.76162017817803e-5	0
"msp_0501"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0502"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0503"	0	0	0	0	0	7.804080643924464e-4	0	0	0	0	0	0	0	7.839907218607011e-4	9.28704483426151e-6	0	0
"msp_0504"	0	0	0	0	0	4.094523420900994e-4	0	0	0	1.6578034506232808e-5	0	0	0	3.9625150038687167e-4	0	0	0
"msp_0505"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0506"	0.0013738141845344484	0.0024161613426789473	0.004235377909708421	4.1975999020654145e-4	9.150882506645739e-4	4.582468679667172e-4	0.0013788868532488942	0.0030074739736794514	0.0012701960987161883	0.001341125987935773	0.002472784963667689	0.004226210763362104	7.886435624278075e-4	4.5978209662969225e-4	0.0012521499483918838	0.002738110275960778	0.0012257161538649847
"msp_0507"	0.005192135122517903	0	0	0	0	0	0	0	0	0.005057606370764571	0	0	0	8.671092103412617e-5	0	9.2708612968543e-5	0
